Head;0.2603343;0.7067181;2.818662
Shoulder-Center;0.3203692;0.5493573;2.838869
Shoulder-Right;0.425342;0.4210452;2.73703
Shoulder-Left;0.1743257;0.4172777;2.974837
Elbow-Right;0.4990283;0.1303758;2.659848
Elbow-Left;0.1309135;0.1319364;2.974627
Wrist-Right;0.4179435;-0.08348569;2.592579
Wrist-Left;0.09425797;-0.09856378;2.934586
Hand-Right;0.4021716;-0.1349609;2.592315
Hand-Left;0.07994473;-0.191643;2.946425
Spine;0.2982962;0.2011063;2.844205
Hip-centro;0.2714061;0.1359394;2.824632
Hip-Right;0.3189441;0.0556121;2.756942
Hip-Left;0.2042919;0.0516207;2.880537
Knee-Right;0.38192;-0.4687742;2.808258
Knee-Left;0.1848905;-0.4780471;2.897859
Ankle-Right;0.3855721;-0.8104832;2.834951
Ankle-Left;0.1647302;-0.8252172;2.886602
Foot-Right;0.3473125;-0.8827198;2.7914
Foot-Left;0.1047752;-0.9002929;2.844132
Head;0.2614802;0.7073953;2.818451
Shoulder-Center;0.3205192;0.5488378;2.838251
Shoulder-Right;0.4258968;0.4208124;2.736746
Shoulder-Left;0.1741864;0.4174564;2.97427
Elbow-Right;0.4990592;0.130371;2.659868
Elbow-Left;0.1332897;0.1346637;2.97242
Wrist-Right;0.4181407;-0.08358449;2.592696
Wrist-Left;0.09615375;-0.09582298;2.932891
Hand-Right;0.4023202;-0.1349762;2.592436
Hand-Left;0.08054621;-0.1883262;2.947353
Spine;0.2984022;0.2011974;2.844121
Hip-centro;0.2715642;0.1360624;2.824559
Hip-Right;0.3192607;0.0556293;2.757122
Hip-Left;0.2044577;0.05210107;2.880285
Knee-Right;0.3806479;-0.465708;2.806921
Knee-Left;0.1848979;-0.4780502;2.897843
Ankle-Right;0.3866571;-0.807833;2.83586
Ankle-Left;0.167297;-0.8286383;2.889913
Foot-Right;0.3461105;-0.8794534;2.790312
Foot-Left;0.1079337;-0.8990492;2.846057
Head;0.2627192;0.7095779;2.817261
Shoulder-Center;0.3201531;0.5498082;2.839997
Shoulder-Right;0.4258316;0.4208168;2.736752
Shoulder-Left;0.1740586;0.4173949;2.974274
Elbow-Right;0.4991855;0.130446;2.659848
Elbow-Left;0.1313111;0.1323855;2.97844
Wrist-Right;0.4185267;-0.08357331;2.592512
Wrist-Left;0.09612552;-0.0975769;2.932245
Hand-Right;0.4023396;-0.1350189;2.592479
Hand-Left;0.08021548;-0.1900473;2.946619
Spine;0.2984813;0.2009199;2.844388
Hip-centro;0.2715451;0.1356526;2.82466
Hip-Right;0.3192977;0.05561981;2.757185
Hip-Left;0.2044426;0.0513403;2.880132
Knee-Right;0.3801688;-0.4655913;2.807283
Knee-Left;0.1851317;-0.4790829;2.898185
Ankle-Right;0.3857943;-0.8080155;2.835344
Ankle-Left;0.1674962;-0.8291816;2.890527
